Medium-flowy fans,Traditional,Golden Yellow,9,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3582.jpg,props
Medium-flowy fans,Traditional,Blue,14,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3587.jpg,props
long-flowy fans,traditional,neon yellow,14,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3581.jpg,props
Small-flowy fans,Traditional,Hot pink,21,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3588.jpg,props
Medium-flowy fans,Traditional,Dual pink and blue,10,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3590.jpg,props
Small-flowy fans,Traditional,Red,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3589.jpg,props
Gold wushu fans,Traditional,gold and red wood,8,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3592.jpg,props
red wushu fans,Traditional,red and white wood,3,,,props
blue wushu fans,Traditional,blue and red wood,1,,,props
Red and peacock feather fans,Traditional,Red,33,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3617.jpg,props
Long-flowy fans,Traditional,Green,12,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3593.jpg,props
Korean fans with small white feathers,Traditional,Pink,14,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3616.jpg,props
Long-flowy fans,Traditional,Orange,1,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3618.jpg,props
big wooden fans,Traditional,wood,8,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3614.jpg,props
small wooden fan,Traditional,wood and purple,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3615.jpg,props
Small umbrellas,Traditional,Pink,5,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3613.jpg,props
Small umbrellas,Traditional,Purple,5,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3612.jpg,props
Large round fan,Traditional,multi colored with paints,14,,,props
small round fan,Traditional,white with multi colored paints,5,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3620.jpg,props
Small cheap wooden fan,Traditional,wood,1,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3595.jpg,props
Golden painted fans,Traditional,White and gold,8,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3619.jpg,props
Rings with bells,Traditional,Gold,33,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3623.jpg,props
Rings,Traditional,Gold,10,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3624.jpg,props
Spinning hankerchief,Traditional,Yellow,8,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3625.jpg,props
Spinning hankerchief,Traditional,Purple,8,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3626.jpg,props
Spinning hankerchief,Traditional,Green,7,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3628.jpg,props
Spinning hankerchief,Traditional,Blue,4,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3627.jpg,props
Large wooden umbrella,Traditional,White and brown,3,,,props
Large wooden umbrella,Traditional,White and blue,3,,,props
Soft handkercheif,Traditional,Red,15,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3631.jpg,props
Silver tea cups,Mongolian,Silver,44,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3632.jpg,props
Silver chopsticks,Mongolian,Silver,37,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3633.jpg,props
Ribbons with sticks,Traditional,"9 red, 3 beige, 2 yellow, 2 pastel yellow, 4 lilac, 1 pink lilac, 1 pink, 1 magenta pink, 1 orange, 2 light green, 1 emerald green, 1 cerulean, 1 royal blue",30,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3640.jpg,props
Fabric for ribbons (sold-trimmed) with golden edges,Traditional,"1 pastel pink, 1 orange, 1 sky blue, 1 red",4,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3649.jpg,props
Pink Flower Hairpiece,Traditional,pink,16,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3655.jpg,props
sequin headpiece,,silver,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3646.jpg,props
Multiple Chopsticks with red ribbon on handle,Mongolian,Wooden and red,31,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3647.jpg,props
5 red silk sashes,Traditional,red,5,,,props
Round wooden sticks with red ribbon,Traditional,Wooden and red,13,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3653.jpg,props
Round wooden sticks,Traditional,Wooden (brown),16,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3654.jpg,props
Orange Flower Hairpiece,,Orange,27,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3658.jpg,props
Yellow Flower Hairpiece,,Yellow,13,,,props
Tea Light Candle,,White lit-up candle,19,,,props
Red Sequin pieces,,Red,15,,,props
Blue Sash,,blue,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.30.22.jpg,props
Red Sash,,red,9,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.30.14.jpg,props
Pink/Blue Long Ribbon,Traditional,dark pink/ light pink/ light blue,6,,,props
White chiffon cloths,Traditional,White,11,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.07.jpg,props
Purple wrap cloth,Traditional,Purple,10,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.17.jpg,props
Pink Scarves,,pink,6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.31.jpg,props
green sheets,,green,11,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.39.58.jpg,props
blue sheets,,blue,13,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.12.jpg,props
purple pashminas,,purple,6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.34.46.jpg,props
Large red flags with wooden handles,,red,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.42.05.jpg,props
white sheer sheets,,white,3,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.34.11.jpg,props
Teal sheets,,teal,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.22.jpg,props
Wooden sticks,,Wooden (brown),12,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.41.32.jpg,props
Pointy bamboo cone-shaped hats with blue beads on edges,,Brown and blue,4,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.43.58.jpg,props
FeiYue Shoes bought by Feifei,,Black shoes from china,10 pairs of shoes,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.44.14.jpg,props
Salmon sheets,,salmon,6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.26.jpg,props
Gold sheets,,Gold,6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.55.jpg,props
Pink Pashminas,,,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.31.jpg,props
Yellow Sheets,,Yellow,12,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.40.jpg,props
Yellow sashes,,yellow,3,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3578.jpg,props
Yellow decorative Scarves,,yellow,10,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.41.00.jpg,props
Little pink scarves with stripes,,pink,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.45.jpg,props
Pink and White sheets,,pink and white,5,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.33.07.jpg,props
Gold wrinkly cloth,,gold,12,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.35.jpg,props
Maroon cloth,,maroon,2,,,props
White sheets,,white,13,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.40.50.jpg,props
lilac scrf,,lilac,1,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.55.20.jpg,props
light pink scarf,,light pink,3,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.55.24.jpg,props
magenta scarf,,magenta,2,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.55.17.jpg,props
white sparkly scarf with dots,,white with sparkly dots,2,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.55.13.jpg,props
Pieces of red cloth (variable size),,,14,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.58.45.jpg,props
Long strip of red cloth,,Red,4,,,props
Retractable Sword,,Black handle and silver blade,5,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.01.40.jpg,props
Weed-looking large green leaf headpieces,,Green,12,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.03.52.jpg,props
Peacock metallic headpieces,,Gold,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.04.44.jpg,props
Hair needles with red strings,,Black and red,9,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.04.51.jpg,props
